userid, openness, agreeableness, emotional_stability, conscientiousness, extraversion, assigned metric, assigned condition, is_personalized, enjoy_watching ,Avg_Movie_Rating
8e7cebf9a234c064b75016249f2ac65e,5,2,3,2.5,6.5, serendipity, high,4,4,4.252362966
77c7d756a093150d4377720abeaeef76,7,4,6,5.5,4, all, default,2,3,4.173934689
b7e8a92987a530cc368719a0e60e26a3,4,3,4.5,2,2.5, serendipity, medium,2,2,4.764654351
92561f21446e017dd6b68b94b23ad5b7,5.5,5.5,4,4.5,4, popularity, medium,3,3,4.44431266
030001ac2145a938b07e686a35a2d638,5.5,5.5,3.5,4.5,2.5, popularity, medium,2,3,4.44431266
f91b2fb085d0feb47b86fc81b10207ee,6,3,4,3.5,1.5, popularity, medium,2,4,4.44431266
f7b0502be8c86203ce6acaffe59f993a,4.5,4,6,5,4, diversity, low,3,4,4.214749164
36f31ef9879b4de96977aeba94878581,5.5,4.5,6,3,4, popularity, low,4,4,4.163660619
653bb2f69ddd19e1cf1f9e1871916d71,5,5,5,5,3, diversity, high,3,4,4.636172688
89d365a0d0f1a80ae8d079079a078155,6,6.5,2,2.5,3, diversity, high,3,2,4.636172688
4d92401ed253aab37fa28a68d5d24d87,6.5,6.5,7,5.5,6.5, serendipity, high,5,5,4.6045502
875afaef12d7872b644948db1bb3040a,2.5,6.5,7,7,4, diversity, low,1,5,4.648195585
2507e0e5af7f4c6bef436c8cd0e90bc3,6.5,4,2.5,6,4, serendipity, high,4,4,4.392271044
7500db258d55789ef86cbb29ffcb2016,7,3,2,3,1.5, diversity, high,1,4,4.645052421
4d9071f72df26fe1d04196c8c6bb126e,5.5,5,6.5,5.5,6, popularity, medium,3,3,4.37599328
67fc933eadbe711d020d3f3c2136b087,6,4,6,3,6, popularity, low,2,2,4.139325486
a258fd42676ec2550796eeb1b0028ea0,5.5,3.5,3,6.5,2.5, serendipity, medium,4,4,3.99654174
e0ae9890c58fcfe19c89b45f5871add2,5.5,6,4,3.5,1.5, popularity, low,4,4,4.232808633
0c6e74d0739fb94e2f3c8e5605497bbd,6.5,4,3.5,3.5,4.5, popularity, low,3,3,4.232808633
